Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN
"SOUS LE CIEL, LA PAIX",태평천하,FRANCE,French(Français),CH`AE MANSIK,채만식,"Ch&apos;oe Yun,Patrick Maurus",Y,악트 쉬드,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,2742745831
"Mutter, Großmutter-Silhouetten",어머니와 할머니의 실루엣,,German(Deutsch),SHIN Kyongnim,신경림,"Park Jinhyung,Matthias Augustin",N,Peperkorn,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry,3929181525
Sündhafte Sehnsucht,어느날 나는 흐린 주점에 앉아 있을 거다,GERMANY,German(Deutsch),Hwang Chi-woo,황지우,"Kim Miy-He,Sylvia Bräsel",N,Abera,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry,3934376452
König Jònsan,문제적 인간 연산,,German(Deutsch),Lee Youn-taek,이윤택,Kim Miy-He,N,Theater der Zeit,2003,KDC구분 > literature > Korean Literature > Korean Drama,3934344275
Nachtkerze,달맞이꽃,GERMANY,German(Deutsch),Kim Jong-Gil,김종길,Sophia Tjonghi Seo,Y,Peperkorn,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1945-1999,3929181541
Der doppelte Ong,옹고집이 기가 막혀,,German(Deutsch),Yi Chong-jun,이청준,"Mihyang Mo,Andreas Schirmer",N,Peperkorn,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,3929181517
DIE SUCHE NACH DEN VERLORENEN WORTEN,잃어버린 말을 찾아서,,German(Deutsch),Yi Chong-jun,이청준,"Kim Hyung-Ki,Matthias Gatzemeier",Y,EOS Verlag,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,"9783830671275,383067127X"
Das rote Zimmer,임철우 중단편선: 붉은 방,,German(Deutsch),Lim Chul-Woo,임철우,"JUNG Young-Sun,Herbert Jaumann",Y,Pendragon,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,"9793934872461,3934872468"
Wie kommt der Elefant in mein Schlafzimmer?,코끼리를 찾아서,GERMANY,German(Deutsch),Jo Kyung Ran,조경란,"JUNG Young-Sun,Herbert Jaumann",Y,Pendragon,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,"3934872581, 9783934872584"
Lautlos fällt eine Blüte,저기 소리없이 한 점 꽃잎이 지고,GERMANY,German(Deutsch),Ch’oe,최윤,"Heekyung Jeong,Christian Walsdorff",Y,Pendragon,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,"3934872476,9793934872478"
Under the Glassmoon Vol.1,유리 달 아래서 Vol.1,GERMANY,German(Deutsch),Koh Yasung,고야성,Mirja Maletzki,N,Egmont,2003,KDC구분 > Arts,3898857654
Island Vol.4,아일랜드,GERMANY,German(Deutsch),"Yang Kyung-Il,Youn In-wan","양경일,윤인완",John S.,N,Panini,2003,KDC구분 > literature > Korean Literature,3899214455
Island Vol.5,아일랜드,GERMANY,German(Deutsch),"Yang Kyung-Il,Youn In-wan","양경일,윤인완",John S.,N,Panini,2003,KDC구분 > literature > Korean Literature,3899214463
Island Vol.6,아일랜드,GERMANY,German(Deutsch),"Yang Kyung-Il,Youn In-wan","양경일,윤인완",John S.,N,Panini,2003,KDC구분 > literature > Korean Literature,3899214471
"MEINE LIEBE, MEIN VATERLAND",나의 사랑 나의 조국,,German(Deutsch),LEE Hee-Ho,이희호,Werner Pfennig,N,Abera,2003,KDC구분 > literature > Korean Literature > Essay,3934376460
DIVAGAZIONI DELL'ESILIO,성옹식소론,ITALY,Italian(Italiano),Heo Kyun,허균,Tonino Puggioni,Y,O barra O,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),8887510105
素描,소묘,,Japanese(日本語),文徳守,문덕수,鴻農映二,N,土曜美術社,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry,4812014085
むかしむかし,옛날 옛적에,,Japanese(日本語),李康列,이강렬,,N,新風舍,2003,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,4797424788
ゆらゆら ゆくよ,훨훨 간다,,Japanese(日本語),クォン・ジョンセン,권정생,金広子,N,小峰書店,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784338126502
キムサッカ 金笠詩選,김립 시선,JAPAN,Japanese(日本語),金笠,김삿갓,崔碩義,N,平凡社,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9784582807141
郭公の故郷,뻐꾸기의 고향: 한국현대단편소설집,,Japanese(日本語),"柳基洙,金南一,金永顕,宋基淑","류기수,김남일,김영",加藤建二,N,風媒社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,4833120399
韓國のュリシ一ズ キムㆍクヮソリム(金光林)ヘ,"한국의율리시즈, 김광림에게",,Japanese(日本語),,,,N,書肆?樹社,2003,KDC구분 > literature > Korean Literature > Diary >  Letter >  Travelogue,4883741214
氷蝉 21世紀世界詩人選書,21세기세계시인선서 (빙선),JAPAN,Japanese(日本語),安度眩,안도현,韓成禮,N,書肆青樹社,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,"4883741176, 9784883741175"
幸せのねむる川,연어,,Japanese(日本語),アン·ドヒョン,안도현,藤田優里子,N,青春出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,4413006399
万歲前,만세전,,Japanese(日本語),廉想涉,염상섭,白川豊,N,勉誠出版,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9784585050940
韓国のユリシーズ キムㆍクヮソリムヘ,김광림 시집,,Japanese(日本語),金光林,김광림,朴起源,N,書肆青樹社,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),"9787807632689, 4883741540"
韓国のニッポン逆転戦略,한국의 일본 역전 전략,,Japanese(日本語),,강희봉,,N,角川書店,2003,KDC구분 > Social science,4048945106
ゼロから話せる韓国語,제로에서 말하는 한국어,,Japanese(日本語),,,,N,三修社,2003,KDC구분 > Language,438400723X
韓国歴史漫步,한국역사만보,,Japanese(日本語),神谷丹路.,神谷丹路,,N,明石書店,2003,KDC구분 > History,4750317551
韓国の文化,한국의 문화,,Japanese(日本語),,서정수,森本勝彦,N,ハンス本,2003,KDC구분 > History,"8995135298, 899513528x"
ÎNTRE SUNET ŞI TĂCERE,고창수 시선,,Romanian(Română),Go Changsoo,고창수,Dan Brudaşcu,N,SEDAN,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9739901123
Na Tohyang and Korean short story writing of the 1920s,나도향 그리고 한국단편선,,Polish(Polski),Na Tohyang,나도향,Halina Ogarek-Czoj,N,Wydawnictwo Akademickie DIALOG,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),8388938339
Poezii alese,고창수 시선,ROMANIA,Romanian(Română),Go Changsoo,고창수,Dan Brudaşcu,Y,SEDAN,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9739900190
Избранные кopeйcкиe paccкaзы нoвого времени,한국 현대 산문선: 혈서 외 6편,RUSSIAN FEDERATION,Russian(Русский),"Лч Гвансу,Ким Юджон,Хён Джинго","이광수,김유정,현진","Ким Сыну,Александр Ин",Y,Московский Государственный университет,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),5981490012
Избранные кopeйcкиe рассказы новейшего времени,한국 현대 단편선,RUSSIAN FEDERATION,Russian(Русский),"Джу Ёсоп,Ким Допгпи,Хуанг Сүн ","주요섭,김동리,황순","Ин Александр,Ким Хёджа",Y,Московский Государственный университет,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),5981490047
Ким Соволь,진달래꽃,,Russian(Русский),কিম সওল,김소월,Ким Рехо,N,Первое марта,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,5894490049
СКАЗАНИЕ О ЧХУНЯН,춘향전,RUSSIAN FEDERATION,Russian(Русский),,,"КИМ ХЁН-ТХЭК,АНамолий Ким",Y,БОНФИ,2003,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,5930850186
Рыбак не помает камышей,고기잡이는 갈대를 꺾지 않는다,RUSSIAN FEDERATION,Russian(Русский),КИМ ДЖУёН,김주영,Ким Гынсик,Y,Московский Государственный университет,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,5981490039
Современная литература Кореи,현대한국문학사,RUSSIAN FEDERATION,Russian(Русский),"М.В.Солдатова,Κ.Α.Пак","마리아 솔다토바,K","М.В.Солдатова,Κ.Α.Пак",Y,Издательство Дальневосточного университета,2003,KDC구분 > literature > Korean Literature > History of Korean Literature >  Literary Criticism > 20th century(‘10~’99),5744414592
NA BRIJEGU U PODNE,서정주 시선,SERBIA,Croatian(Hrvatski),So Đong Đu,서정주,KIM SAMG HUN,Y,Cigoja,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,"8675581734, 9788675581734"
ОСТРВО ИО,이청준 작품선집,SERBIA,Croatian(Hrvatski),И Чонг Ђун,이청준,Kим Ђи Χјанг,Y,ПРОМЕТЕЈ,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),8676397570
A vista de cuervo y otros poemas,이상 시선집,SPAIN,Spanish(Español),Lee Sang,이상,"Whangbai Bahk,José Catalán,Pio E. Serrano",Y,Verbum,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),8479622636
Antología poética,"비, 하늘, 바람, 항구: 김남조 시선집",SPAIN,Spanish(Español),KIM NAM-JO,김남조,"Kwon Eunhee,YOON JUNESICK",Y,Verbum,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1945-1999,"9788479622695,8479622695"
Más allá del amor,무명연시,MEXICO,Spanish(Español),Oh Sae Young,오세영,"JUNG KWON TAE,Raúl Aceves",Y,ALDUS,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1945-1999,"9707140674,9789707140677"
Sueños del barranco,벼랑의 꿈,SPAIN,Spanish(Español),吳世永,오세영,"KIM CHANGMIN,PEDRO SHIMOSE,José Catalán",Y,Verbum,2003,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1945-1999,978847962276
Aquella montaña tan lejana,그 산이 정말 거기 있었을까,SPAIN,Spanish(Español),Wan-Seo PARK,박완서,"Hye-Jeong Kim,Francisco Javier Martín Ortiz",N,Trotta,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,8481646164
Paraíso cercado,당신들의 천국,SPAIN,Spanish(Español),Yi Chongjun,이청준,"Hye-Sun Ko,Francisco Carranza Romero",N,Trotta,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,8481646172
Kore dili,한국의 언어,,Turkish(Türkçe),I ik-sop,이익섭,Sultan Ferah Akpınar.,N,Aydogdu ofset matbaacilik,2003,KDC구분 > Language,"9752880541, 9789752880542"
(Klear Textbooks In Korean Language) Integrated Korean,통합한국어,,English(English),,손호민,Eun-Joo Lee,N,University of Hawaii Press,2003,KDC구분 > Language,824825683
Les Amants du Coca-Cola Club,코카콜라 애인,FRANCE,French(Français),Dae-nyong YOUN,윤대녕,"Jeong-Won Byeon,André Lee",N,아르마탕,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,2747554678
バイ・コリア,BUY KOREA,,Japanese(日本語),金辰明,김진명,琴玲夏,N,ダイヤモンド社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,"4478930473, 9784478930472"
侵略神社,침략신사,,Japanese(日本語),,,,N,新幹社,2003,KDC구분 > Religion,4884000269
Kuunmong,구운몽,,English(English),كيم مان,김만중,James S. Gale,N,Kurodahan Press,2003,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9784902075038
私が見た北朝鮮核工埸の真実,영변 약산에는 진달래꽃이 피지 않는다,,Japanese(日本語),金大虎,김대호,金燦,N,徳間書店,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784198616359
MIRROR,거울 속으로,ITALY,English(English),Suzy Lee,이수지,,N,Seven Footer Kids,2003,KDC구분 > literature > Korean Literature > Children and Adolescents,9781934734391
Korean Short Stories,"한국 단편 소설: 북한문학 선집				",NETHERLANDS,English(English),"Pyon Hui Gun,Sok Yun Gi,Chon S","변희근,석윤기,천세",,N,Fredonia Books,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),"9781410102188, 1410102181"
Одой хүний хөөргөсөн бяцхан бөмбөлөг,난장이가 쏘아올린 작은 공,MONGOLIA,Mongolian(Монгол Хэл),ЖУ СЭ ХИ,조세희,"Рөнчингийн ЧҮЛТЭМСҮРЭН,зратчийн НАНДИНЦЭЦЭГ",Y,Soyombo printing LLC,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9992990287
While we were out,도대체 그 동안 무슨 일이 일어났을까?,,English(English),Ho Baek Lee,이호백,,N,Kane/Miller Book Pub.,2003,KDC구분 > literature > Korean Literature > Children and Adolescents,"9781929132447, 1929132441"
許浚,소설 동의보감 = (小說)東醫寶鑑,JAPAN,Japanese(日本語),李恩成,이은성,朴菖熙,N,結書房,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Historical >  Biographical >  Political >  Social,9784342625817
Золотые слова корейского народа,한민족의 금언,RUSSIAN FEDERATION,Russian(Русский),Лим Су,임수,Лим Су,N,Санкт-Петербургского государственного университета,2003,KDC구분 > Language,9785288032417
二重スパイ,이중간첩,,Japanese(日本語),具本韓,구본한,秋那,N,新潮社,2003,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > Screenplay,9784102006115
黄牛のおくりもの,황소 아저씨,JAPAN,Japanese(日本語),クォン・ジョンセン,권정생,仲村修,N,いのちのことば社フォレストブックス,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784264021407
庭を出ためんどり,마당을 나온 암탉,JAPAN,Japanese(日本語),ファン・ソンミ,황선미,ピョン・キジャ,N,平凡社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784582829907
Изгарянени спомени,타오르는 추억,,Bulgarian(български),И Мун-Йол,이문열,"Co Йънг Ким,Яница Иванова",N,Sema RSH,2003,"KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual)
KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story",
На този пуста гара,이 황량한 역에서,,Bulgarian(български),И Мун-Йол,이문열,"Co Йънг Ким,Яница Иванова",N,세마쉬,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,
爱情故事,연인,,Chinese(简体),郑浩承,정호승,于萌,N,华夏出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9787508032016
浮浪的江,부랑의 강,,Chinese(简体),金圣钟,김성종,周宇红,N,上海译文出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Detective >  Adventure,9787532730599
第五潜入者,제 5의 사나이,,Chinese(简体),金圣钟,김성종,吴荣华,N,时代文艺出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Detective >  Adventure,9787538717990
你爱香草吗,허브를 사랑하나요,,Chinese(简体),金河仁,김하인,荀寿潇,N,南海出版公司,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787544225304
女人天下,여인천하,,Chinese(简体),朴鍾和,박종화,于萌,N,哈尔滨出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Historical >  Biographical >  Political >  Social,9787806399323
钢琴别恋,피아노,,Chinese(简体),孙永穆,손영목,"黃勝,孙娜",N,中国盲文出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9787500218180
九岁人生,아홉살 인생,,Chinese(简体),卫奇哲,위기철,灵儿,N,哈尔滨出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787806398944
刺猬,고슴도치,,Chinese(简体),卫奇哲,위기철,灵儿,N,哈尔滨出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787806398913
梦游桃源图,몽유도원도,,Chinese(简体),崔仁浩,최인호,荀壽潇,N,南海出版公司,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Historical >  Biographical >  Political >  Social,9787544225953
情书,러브레터,,Chinese(简体),河瑾灿,하근찬,太美玉,N,华夏出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787508031941
8月照相馆,8월의 크리스마스,,Chinese(简体),许修晶,허수정,于萌,N,哈尔滨出版社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787806399620
世界でいちばん大切な思い,TV동화 행복한 세상,,Japanese(日本語),이미애,이미애,笛木優子,N,東洋経済新報社,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9784492222379
菊花の香り,국화꽃 향기,,Japanese(日本語),金河仁,김하인,宮本尚寛,N,PHP研究,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784569626697
すべてを捨てて去る,버리고 떠나기,,Japanese(日本語),法頂,법정,河野進,N,澤大学出版会,2003,KDC구분 > literature > Korean Literature > Essay,9784892054709
Придёт ли весна,봄은 오는가 - 한국현대시선집,,Russian(Русский),ЧОН ДИ ЁН,이육사,Amanova Gulistan,N,Karakalpakstan,2003,KDC구분 > literature > Korean Literature > Korean Poetry,
Ким Си Сып,김시습: 금오신화,,Russian(Русский),Ким Сисып,김시습,"Вл.Сорокин,Д.Восресенский,Д. Воскресенский",N,СемаРШ,2003,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,-
COAL SACK,石炭袋,JAPAN,Japanese(日本語),"高炯烈,崔龍源,李美子","고형렬,최용원,이미",韓成禮,N,コールサック社,2003,KDC구분 > literature > Periodical,
COAL SACK,石炭袋,JAPAN,Japanese(日本語),"高炯烈,崔龍源,李美子","고형렬,최용원,이미",韓成禮,N,コールサック社,2003,KDC구분 > literature > Periodical,
詩と創造 Vol.44,詩と創造,JAPAN,Japanese(日本語),"劉弘埈,奠賛一,金海原","유홍준,정찬일,김해",韓成禮,N,淸水社,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),
詩と創造 Vol.43,詩と創造,JAPAN,Japanese(日本語),"李永洙,徐圭正,潘蓮姫","이영수,서규정,반연",韓成禮,N,靑樹社,2003,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),
Расставания и встречи,이별과 만남,RUSSIAN FEDERATION,Russian(Русский),Ким Хёджа,김효자,,N,МЦК МГУ,2003,KDC구분 > literature > Korean Literature > Essay > 20th century,
Расставания и встречи,이별과 만남,RUSSIAN FEDERATION,Russian(Русский),Ким Хёджа,김효자,,N,МЦК МГУ,2003,KDC구분 > literature > Korean Literature > Essay > 20th century,
Le Chant du pèlerin (Poche),순례자의 노래,FRANCE,French(Français),OH JUNG-HI,오정희,Lee Byoung-Jou,N,Philippe Picquier,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,2877306445
ยัยตัวร้ายกับนายเจี๋ยมเจี้ยม-My sassy girl,엽기적인 그녀,THAILAND,Thai(ภาษาไทย),Kim Ho Sik,김호식,Lee Ji Eun,N,Nation books,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9749589467
EINE UNMÖGLICHE LIEBE,안수길 소설선,,German(Deutsch),An Su Kil,안수길,"An In Kil,Alissa Walser",Y,Konkurbuch,2003,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,"9783887693237, 388769323X"
藍色生死恋,가을동화,,Chinese(简体),吳水娟,오수연,童瑤,N,贵州人民出版社,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,7258055963
藍色生死恋,가을동화,,Chinese(简体),吳水娟,오수연,童瑤,N,中央编译出版社,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787801095138
冬季恋歌,겨울연가,,Chinese(简体),金银熙,김은희,因思锐,N,当代世界出版社,2002,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,7801155548
菊花香,국화꽃 향기,,Chinese(简体),金河仁,김하인,荀寿潇,N,南海出版公司,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,7544221679
灯塔守望者,등대지기,,Chinese(简体),赵昌仁,조창인,王东福,N,中国工人出版社,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,7500828721
木槿花的诱惑,무궁화의 유혹: 한국당대중단편소설선,,Chinese(简体),尹大宁,윤대녕,朴明爱,N,上海文化出版社,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,"7806464476, 9787806464472"
巫女图,김동리 대표작선: 무녀도,CHINA,Chinese(简体),金东里,김동리,"韩梅,崔胤京",Y,上海译文出版社,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),7532728293
我的野蛮女友,엽기적인 그녀,,Chinese(简体),견우74,김호식,"潘正興,譚垚,何晨",N,当代世界出版社,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,7801155424
悠悠家園,오래된 정원,,Chinese(简体),黃晳暎,황석영,陳寧寧,N,잉크인각출판사,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9868030153
夏娃的诱惑,이브의 모든 것,,Chinese(简体),朴志贤,박지현,尹晨伊,N,中央編译出版社,2002,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,7801095324
中国朝鲜族文学作品精粹,중국조선족문학작품정수 :산문권,CHINA,Chinese(简体),金学泉,김학천,,N,延边人民出版社,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),7806487948
中国朝鲜族文学作品精粹,중국 조선족 문학 작품 정수 : 소설권,CHINA,Chinese(简体),金学泉,김학천,,N,延边人民出版社,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),7806487948
中国朝鲜族文学作品精粹,중국 조선족 문학 작품 정수 : 시가권,CHINA,Chinese(简体),金学泉,김학천,,N,延边人民出版社,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),7806487948
中国朝鲜族文学作品精粹,중국조선족문학작품정수 : 아동문학권,CHINA,Chinese(简体),金学泉,김학천,,N,延边人民出版社,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),7806487948
中国朝鲜族文学作品精粹,중국 조선족 문학 작품 정수 : 평론권,CHINA,Chinese(简体),金学泉,김학천,,N,延边人民出版社,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),7806487948
情定大饭店,호텔리어,,Chinese(简体),姜銀庆,강은경,尹晨伊,N,中央編译出版社,2002,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,7801095332
Prázdné hory jsou plné větru a deště,바람과 비 가득찬 공산: 한국 선시선,CZECH REPUBLIC,Czech(Český Jazyk),Han Jong-Un,한용운,Ivana M. Gruberová,Y,달마가이아,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,8085905957
The book of Korean Shijo,시조선,UNITED STATES,English(English),Ch`oe Ch`ung,최충,Kevin O`Rourke,Y,하버드 대학 아시아 센터,2002,KDC구분 > literature > Korean Literature > Korean Poetry > Sijo,067400857X
Meditative poems by Korean monks,한국 선시집,,English(English),Hyech&apos;o,혜초,Jaihiun Kim,Y,아시안 휴머니티즈 프레스,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection and Selected Works in Chinese,0895818511
Brother Enemy,한국전쟁 시선집,UNITED STATES,English(English),"Cho Chi-hun,Yu Chi-Hwan,KU San","조지훈,유치환,구상",Suh Ji-Moon,Y,화이트 파인 출판사,2002,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),1893996204
Love Poems from Old Korea in Sijo Form,사랑의 시,,English(English),Tosun Pak,박도선,Jaihiun J. Kim,N,Iljisa Pub. House,2002,KDC구분 > literature > Korean Literature > Korean Poetry > Sijo > Joseon Dynasty,8931205171
Crow&apos;s eye view,오감도,UNITED STATES,English(English),LEE SANG,이상,Myong-Hee Kim,N,Word Works,2002,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,091538048X
The cry of the magpies,까치소리,,English(English),KIM DONG-NI,김동리,Sol Soonbong,Y,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,8988095588
The camellias,동백꽃,,English(English),Kim Yu-Jeong,김유정,"Chun Kyung-ja,Suh Ji-Moon",Y,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,8988095545
Rust,녹,,English(English),YANG GUI-JA,양귀자,"Steven D. Capener,Ahn Jung-Hyo",N,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,8988095634
Between heaven and earth,천지간,,English(English),Yun Daenyong,윤대녕,Kim Sul Ja,N,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,8988095596
The rainy spell,장마,,English(English),Yun Heung-gil,윤흥길,Suh Ji-Moon,Y,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,898809560X
Shrapnel and Other Stories,이동하 소설선,UNITED STATES,English(English),Lee Dong-Ha,이동하,Hyun-Jae Yee Sallee,Y,화이트 파인 출판사,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,1893996530
Farmers,농민,,English(English),Lee Muyeong,이무영,Yu Young Nan,N,호마 앤 세키 북스,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,1931907080
An appointment with my brother,아우와의 만남,,English(English),Yi Mun-Yol,이문열,Suh Ji-Moon,Y,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,8988095642
The General's Beard,장군의 수염,,English(English),Lee Oyoung,이어령,Anthony of Taizé,Y,호마 앤 세키 북스,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,1931907072
Everlasting Empire,영원한 제국,,English(English),YI IN-HWA,이인화,Yu Young-Nan,Y,EastBridge,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Historical >  Biographical >  Political >  Social,1891936026
The wounded,병신과 머저리,,English(English),Yi Chongjun,이청준,Jennifer M. Lee,Y,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,898809557X
"With her oil lamp on, that night","그 밤, 호롱불을 밝히고",,English(English),"Lim Chul-Woo,Ahn Jung-Hyo","임철우,안정효",Agnita Tennant,Y,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,8988095561
A Dwarf launches a little ball,난장이가 쏘아올린 작은 공,,English(English),Cho Se-hŭi,조세희,Chun Kyung-ja,Y,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788988095614
Deep blue night,깊고 푸른 밤,,English(English),Choi Inho,최인호,"Ju-Chan Fulton,",N,Jimoondang,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,8988095626
Reflections on a Mask,가면고,,English(English),Ch`oe In-Hun,최인훈,"Stephen Moore,Shi Chung Park Moore",Y,호마 앤 세키 북스,2002,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9781931907057
